EPOCH,Stock Name,ltp
1695832360,MCX:CRUDEOIL23OCTFUT,7809.0
1695832361,MCX:CRUDEOIL23OCTFUT,7809.0
1695832361,MCX:CRUDEOIL23OCTFUT,7809.0
1695832361,MCX:CRUDEOIL23OCTFUT,7809.0
1695832361,MCX:CRUDEOIL23OCTFUT,7809.0
1695832362,MCX:CRUDEOIL23OCTFUT,7809.0
1695832362,MCX:CRUDEOIL23OCTFUT,7809.0
1695832362,MCX:CRUDEOIL23OCTFUT,7809.0
1695832362,MCX:CRUDEOIL23OCTFUT,7809.0
1695832362,MCX:CRUDEOIL23OCTFUT,7809.0
1695832364,MCX:CRUDEOIL23OCTFUT,7809.0
1695832364,MCX:CRUDEOIL23OCTFUT,7809.0
1695832369,MCX:CRUDEOIL23OCTFUT,7809.0
1695832369,MCX:CRUDEOIL23OCTFUT,7809.0
1695832370,MCX:CRUDEOIL23OCTFUT,7809.0
1695832370,MCX:CRUDEOIL23OCTFUT,7809.0
1695832371,MCX:CRUDEOIL23OCTFUT,7809.0
1695832371,MCX:CRUDEOIL23OCTFUT,7809.0
1695832372,MCX:CRUDEOIL23OCTFUT,7809.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832375,MCX:CRUDEOIL23OCTFUT,7808.0
1695832376,MCX:CRUDEOIL23OCTFUT,7808.0
1695832377,MCX:CRUDEOIL23OCTFUT,7808.0
1695832378,MCX:CRUDEOIL23OCTFUT,7808.0
1695832378,MCX:CRUDEOIL23OCTFUT,7808.0
1695832378,MCX:CRUDEOIL23OCTFUT,7808.0
1695832378,MCX:CRUDEOIL23OCTFUT,7808.0
1695832378,MCX:CRUDEOIL23OCTFUT,7808.0
1695832380,MCX:CRUDEOIL23OCTFUT,7808.0
1695832380,MCX:CRUDEOIL23OCTFUT,7808.0
1695832381,MCX:CRUDEOIL23OCTFUT,7808.0
1695832381,MCX:CRUDEOIL23OCTFUT,7808.0
1695832386,MCX:CRUDEOIL23OCTFUT,7808.0
1695832387,MCX:CRUDEOIL23OCTFUT,7808.0
1695832387,MCX:CRUDEOIL23OCTFUT,7808.0
1695832387,MCX:CRUDEOIL23OCTFUT,7808.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832388,MCX:CRUDEOIL23OCTFUT,7807.0
1695832390,MCX:CRUDEOIL23OCTFUT,7807.0
1695832391,MCX:CRUDEOIL23OCTFUT,7807.0
1695832393,MCX:CRUDEOIL23OCTFUT,7807.0
1695832394,MCX:CRUDEOIL23OCTFUT,7807.0
1695832395,MCX:CRUDEOIL23OCTFUT,7807.0
1695832398,MCX:CRUDEOIL23OCTFUT,7807.0
1695832399,MCX:CRUDEOIL23OCTFUT,7807.0
1695832399,MCX:CRUDEOIL23OCTFUT,7807.0
1695832399,MCX:CRUDEOIL23OCTFUT,7807.0
1695832400,MCX:CRUDEOIL23OCTFUT,7807.0
1695832400,MCX:CRUDEOIL23OCTFUT,7807.0
1695832401,MCX:CRUDEOIL23OCTFUT,7807.0
1695832401,MCX:CRUDEOIL23OCTFUT,7807.0
1695832402,MCX:CRUDEOIL23OCTFUT,7803.0
1695832403,MCX:CRUDEOIL23OCTFUT,7803.0
1695832403,MCX:CRUDEOIL23OCTFUT,7803.0
1695832403,MCX:CRUDEOIL23OCTFUT,7803.0
1695832403,MCX:CRUDEOIL23OCTFUT,7803.0
1695832403,MCX:CRUDEOIL23OCTFUT,7803.0
1695832404,MCX:CRUDEOIL23OCTFUT,7803.0
1695832405,MCX:CRUDEOIL23OCTFUT,7803.0
1695832406,MCX:CRUDEOIL23OCTFUT,7803.0
1695832408,MCX:CRUDEOIL23OCTFUT,7803.0
1695832408,MCX:CRUDEOIL23OCTFUT,7803.0
